City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,kimberley,-28.7323,24.7623,285.98,62,2,1.03,ZA,1731278718
196,belfast,54.5833,-5.9333,283.05,83,100,3.6,GB,1731279071
197,kazanlak,42.6167,25.4,275.42,95,39,2.94,BG,1731279072
198,new norfolk,-42.7826,147.0587,288.55,39,4,1.42,AU,1731279073
199,pskov,57.8136,28.3496,276.1,93,100,2.0,RU,1731279076
200,shiprock,36.7855,-108.687,285.19,37,48,0.81,US,1731279077
201,tucuma,-0.1833,-50.05,300.48,79,13,4.27,BR,1731279078
202,tahla,34.0485,-4.428,289.18,60,4,0.99,MA,1731279080
203,kosum phisai,16.2486,103.0674,294.0,75,74,2.05,TH,1731279081
204,porto velho,-8.7619,-63.9039,301.18,74,20,2.06,BR,1731278938
205,sisimiut,66.9395,-53.6735,266.97,79,100,4.04,GL,1731279083
206,ribeira do pombal,-10.8344,-38.5358,298.68,63,98,4.75,BR,1731279084
207,ust-tsilma,65.441,52.1498,265.0,98,74,1.17,RU,1731279087
208,afaahiti,-17.75,-149.2833,297.69,86,100,7.15,PF,1731279088
209,haiku-pauwela,20.9219,-156.3051,302.16,58,20,11.62,US,1731278852
210,lompoc,34.6391,-120.4579,293.66,59,0,5.66,US,1731279090
211,portland,45.5234,-122.6762,287.48,75,100,5.14,US,1731278992
212,talnakh,69.4865,88.3972,248.75,90,48,1.06,RU,1731279092
213,altai,46.3722,96.2583,268.3,57,49,8.06,MN,1731279093
214,ambon,-3.6954,128.1814,302.72,100,40,2.06,ID,1731279094
215,dalandzadgad,43.5708,104.425,274.59,27,0,2.41,MN,1731279095
216,al khums,32.6486,14.2619,293.58,74,100,3.94,LY,1731279096
217,vernon,50.2581,-119.2691,282.46,75,100,0.51,CA,1731279097
218,nayoro,44.3506,142.4578,279.79,82,67,4.57,JP,1731279099
219,tingo maria,-9.2895,-76.0088,297.16,84,98,0.67,PE,1731279100
220,bikenibeu village,1.3673,173.1241,304.13,70,40,6.17,KI,1731279101
221,floro,61.5996,5.0328,280.13,87,100,8.23,NO,1731279102
222,borba,-4.3878,-59.5939,303.11,53,91,1.41,BR,1731279103
223,gagliano del capo,39.8442,18.3695,286.83,77,9,2.57,IT,1731279104
224,sitangkai,4.6628,119.3928,300.64,81,65,2.98,PH,1731279105
225,severodvinsk,64.5635,39.8302,275.81,84,100,4.34,RU,1731279106
226,chak thirty-one -eleven left,30.4333,72.7,295.0,34,3,2.38,PK,1731279107
227,antonio enes,-16.2325,39.9086,298.33,88,1,4.01,MZ,1731279108
228,flin flon,54.7682,-101.865,276.06,75,75,2.06,CA,1731279109
229,axum,14.1245,38.7244,289.98,57,100,1.09,ET,1731279111
230,arkhangel'sk,64.5401,40.5433,276.21,100,75,3.0,RU,1731279112
231,okhotsk,59.3833,143.3,262.4,71,100,7.27,RU,1731279113
232,klaksvik,62.2266,-6.589,282.04,81,63,14.45,FO,1731279114
